"","jpm$text","text_clean"
"13101","ñ @ hollyfletcher: Need a laugh? Read the # AskJPM feed. You won't regret it.î I'm dying right now.","ü¾Œ–˜¼  Need a laugh? Read the  feed. You won't regret it.ü¾™–”¼ I'm dying right now."
"13102","IS IT A FAIR ASSUMPTION THAT YO SOCIAL MEDIA TEAM DID NOT PROPERLY PROTECT YA NECK? # AskJPM # WuWednesday","IS IT A FAIR ASSUMPTION THAT YO SOCIAL MEDIA TEAM DID NOT PROPERLY PROTECT YA NECK?  "
"13103","# ASKJPM maybe? RT o SEC...who obtained # Yellen text EARLIER this morning and enjoyed the 200 Dow point ramp? @ TheKillir"," maybe?  o SEC...who obtained  text EARLIER this morning and enjoyed the 200 Dow point ramp? "
"13104","# AskJPM # askCNBC do you understand the definition of the word witchhunt? And that this is not it?","  do you understand the definition of the word witchhunt? And that this is not it?"
"13105","So after Senate investigators called Mr. Dimon a liar, do you still donate to their bosses? # AskJPM http://nypost.com/2013/03/15/report-jpm-lied-about-whale-loss/ ƒ","So after Senate investigators called Mr. Dimon a liar, do you still donate to their bosses?  ü¾Œ³ ¼"
"13106","# AskJPM Gold inventories: how's November looking"," Gold inventories: how's November looking"
"13107","i think today's failed # askJPM exercise would make for a great case study in @ KaganJ's course at @ Columbia_Biz","i think today's failed  exercise would make for a great case study in  course at "
"13108","Who would win in a fight, Ditka or Jamie Dimon? # AskJPM","Who would win in a fight, Ditka or Jamie Dimon? "
"13109","# askJPM Can I get paid a banker bonus if I ask nice questions?? My student loans are just outrageous"," Can I get paid a banker bonus if I ask nice questions?? My student loans are just outrageous"
"13110","@ JPMorgan se une a la iniciativa de Q&A en Twitter con el hashtag # AskJPM. Jimmy Lee dedicarà una hora a responder: https://www.jpmorgan.com/x/a/NFPV4Fj"," se une a la iniciativa de Q&A en Twitter con el hashtag  Jimmy Lee dedicarü¾Œ†”¼ una hora a responder: "
"13111","# AskJpm Did you really pay the TARP money or you just said you did?"," Did you really pay the TARP money or you just said you did?"
"13112","@ ObsoleteDogma I vote this up as the @ JPMorgan # AskJPM Tweet Of The Day"," I vote this up as the   Tweet Of The Day"
"13113","Would you consider JPM more or less popular than the Ebola virus? # AskJPM","Would you consider JPM more or less popular than the Ebola virus? "
"13114","# AskJPM when is the next blue whale coming ?"," when is the next blue whale coming ?"
"13115","Maybe Jimmy Lee can just answer the # AskChase questions instead of the # AskJPM questions.","Maybe Jimmy Lee can just answer the  questions instead of the  questions."
"13116","# AskJPM Who is running your risk department? Whales, social media fails ..."," Who is running your risk department? Whales, social media fails ..."
"13117","Are we ever going 2 c honest banking practised again? If so, when & where do u think that will happen? Only in Grameen Bank? # AskJPM","Are we ever going 2 c honest banking practised again? If so, when & where do u think that will happen? Only in Grameen Bank? "
"13118","Will I get a holiday card this year? # AskJPM","Will I get a holiday card this year? "
"13119","Funnier: Short-sheeting, or short-selling? # AskJPM","Funnier: Short-sheeting, or short-selling? "
"13120","Omg. Public relations nightmare. # AskJPM","Omg. Public relations nightmare. "
"13121","# AskJPM Is there a single shred of human decency in the entire place?"," Is there a single shred of human decency in the entire place?"
"13122","Is Eric Holder the Bizarro-Jerry version of Pez Dispenser? # AskJPM","Is Eric Holder the Bizarro-Jerry version of Pez Dispenser? "
"13123","Now's the time for firms to release embarrassing public information. Every financial journalist in the Western World is busy reading # AskJPM","Now's the time for firms to release embarrassing public information. Every financial journalist in the Western World is busy reading "
"13124","@occupyphoenix That was top shelf.... # AskJPM whether he gave tips to SAC # insidertrading"," That was top shelf....  whether he gave tips to SAC "
"13125","ñ @ smerd: Dear @ jpmorgan: you get what you # AskJPM for.î","ü¾Œ–˜¼  Dear  you get what you  for.ü¾™–”¼"
"13126","Which is more fun? Servicing home mortgages or clubbing baby Harp seals? # AskJPM","Which is more fun? Servicing home mortgages or clubbing baby Harp seals? "
"13127","# AskJPM What is the airspeed velocity of an unladen swallow?"," What is the airspeed velocity of an unladen swallow?"
"13128","Will Jamie Dimon go out for a beer with me please? # AskJPM","Will Jamie Dimon go out for a beer with me please? "
"13129","@ 1humanvoice: How much does it cost you to leverage the media into covering up your crimes against humanity? # AskJPM"," How much does it cost you to leverage the media into covering up your crimes against humanity? "
"13130","RT: @ EpicureanDeal Will JPM sponsor a new building at Harvard Business School in exchange for not writing a social media case about # AskJPM?",":  Will JPM sponsor a new building at Harvard Business School in exchange for not writing a social media case about "
"13131","# AskJPM Do you seriously think you have never been bailed out?"," Do you seriously think you have never been bailed out?"
"13132","# AskJPM showing the true social mood just shy of pitchforks and torches."," showing the true social mood just shy of pitchforks and torches."
"13133","# askJPM SO....who will be the next president? I mean. We all know he/she is already bought and sold by you guys."," SO....who will be the next president? I mean. We all know he/she is already bought and sold by you guys."
"13134","Do u agree fines r not enough to deter recidivism when # banksters r found guilty of fraud? Do u agree they shd b jailed? # AskJPM","Do u agree fines r not enough to deter recidivism when  r found guilty of fraud? Do u agree they shd b jailed? "
"13135","When and why exactly during that last weekend did you decide not to buy MF Global BD? # AskJPM http://www.americanbanker.com/bankthink/JPMorgan-Chase-MF-Global-Diane-Genova-1048066-1.html ƒ","When and why exactly during that last weekend did you decide not to buy MF Global BD?  ü¾Œ³ ¼"
"13136","@ TwainsMustache I thihnk that their next meeting would be better off held in prison # AskJPM"," I thihnk that their next meeting would be better off held in prison "
"13137","Hahaha @ EddyElfenbein: WTF Seriously, WTF # AskJPMî","Hahaha  WTF Seriously, WTF "
"13138","HALLE BERRY OR HALLELUJAH? # AskJPM","HALLE BERRY OR HALLELUJAH? "
"13139","@ HeatherFaison: 1. Look up # AskJPM 2. Laugh. Loudly."," 1. Look up  2. Laugh. Loudly."
"13140","Dear @ jpmorgan: you get what you # AskJPM for.","Dear  you get what you  for."
"13141","Search for # AskJPM for a good laugh. Not the best PR strategy","Search for  for a good laugh. Not the best PR strategy"
"13142","GO=>http://www.google.de/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=2&cad=rja&ved=0CDQQFjAB&url=http%3A%2F%2Fwww.bestfollowers.org%2F&ei=jBIhUru6H8aQhQeOqYDAAQ&usg=AFQjCNF-SxG8PKtvDVRb3XHED3NHCY3TYw&sig2=7L24W6xHQ-_noGVLB9aEqQ&bvm=bv.51495398,d.Yms&Z75F&MIrwnsyh ƒ # myweirdrelative, # CookieDance, # AskJPM, # MentionATrueFriend, # UKTVNeedsOutlander,New Zeala","GO=>ü¾Œ³ ¼      Zeala"
"13143","Need a laugh? Read the # AskJPM feed. You won't regret it.","Need a laugh? Read the  feed. You won't regret it."
"13144","RT @ SuperCorpHeroes: Search for # AskJPM for a good laugh. Vice Chairman Jimmy Lee answers your questions for 1 hr... https://twitter.com/SuperCorpHeroes/status/400750278615375873/photo/1pic.twitter.com/0t0q0ycHSx","  Search for  for a good laugh. Vice Chairman Jimmy Lee answers your questions for 1 hr... "
"13145","When will those of you who have taken so much from so many, be held - personally - accountable? # askJPM","When will those of you who have taken so much from so many, be held - personally - accountable? "
"13146","Ouch. RT @ SconsetCapital @ jpmorgan Is it true PM stands for Just Pay More # AskJPM","Ouch.    Is it true PM stands for Just Pay More "
"13147","Reading through the # AskJPM is like a roll call of everyone I've worked with in NYC. Financial journos do have a sense of humor.","Reading through the  is like a roll call of everyone I've worked with in NYC. Financial journos do have a sense of humor."
"13148","$ JPM earned $5.6 billion in 2008, got $25 billion from the government & paid out $8.69 billion in bonuses. Is that awesome or what? # ASKJPM","$ JPM earned $5.6 billion in 2008, got $25 billion from the government & paid out $8.69 billion in bonuses. Is that awesome or what? "
"13149","+1,000 RT @ EddyElfenbein: WTF Seriously, WTF # AskJPM","+1,000   WTF Seriously, WTF "
"13150","Whoever dreamed up J.P. Morgan's # AskJPM live Twitter Q&A is presumably in a dungeon somewhere hanging by his thumbs: http://www.businessinsider.com/trolls-take-over-ask-jpm-2013-11 ƒ","Whoever dreamed up J.P. Morgan's  live Twitter Q&A is presumably in a dungeon somewhere hanging by his thumbs: ü¾Œ³ ¼"
"13151","Hahahaha @ Crudmaestro: # AskJPM who will be president of the major central banks in 2014... sorry that question is actually for # AskGS.î","Hahahaha   who will be president of the major central banks in 2014... sorry that question is actually for "
"13152","Do your employees get to keep their healthcare plans? # AskJPM","Do your employees get to keep their healthcare plans? "
"13153","I think that even trying to do # AskJPM shows a colossal misunderstanding of the Twitter audience and how that audience perceives JPMorgan.","I think that even trying to do  shows a colossal misunderstanding of the Twitter audience and how that audience perceives JPMorgan."
"13154","WTF Seriously, WTF # AskJPM","WTF Seriously, WTF "
"13155","# AskJPM how they feel about # BTC over $400? Can't corner that market eh?"," how they feel about  over $400? Can't corner that market eh?"
"13156","# AskJPM The world needs nurses, social workers, teachers, firefighters, doctors and many other important roles filled. # realwork # realvalue"," The world needs nurses, social workers, teachers, firefighters, doctors and many other important roles filled.  "
"13157","I want to # AskJPM whether it was Jamie that taped the $2 bill to Bear Stearns bldg.and whether the trading desk was net short on the stock.","I want to  whether it was Jamie that taped the $2 bill to Bear Stearns bldg.and whether the trading desk was net short on the stock."
"13158","GO=>http://www.linklite.info/followmania?yWUM0GQf2z ƒ ANDRTIFWANTNEWFOLLOWERS # myweirdrelative, # CookieDance, # AskJPM, # MentionATrueFriend, https://twitter.com/_TFB_TeamFollow/status/376530620806987777/photo/1pic.twitter.com/rSJk3rWYVQ","GO=>ü¾Œ³ ¼ ANDRTIFWANTNEWFOLLOWERS     "
"13159","@ richdhw You actually expecting answers to any of those questions? # AskJPM"," You actually expecting answers to any of those questions? "
"13160","What is your plan to catch up to HSBC & Wachovia in laundering Mexican drug cartel money? # AskJPM","What is your plan to catch up to HSBC & Wachovia in laundering Mexican drug cartel money? "
"13161","Do hipsters call themselves hipsters? # askJPM","Do hipsters call themselves hipsters? "
"13162","@ jpmorgan Why did you close all of my accounts?!?!?! # AskJPM"," Why did you close all of my accounts?!?!?! "
"13163","# AskJPM who will be president of the major central banks in 2014... sorry that question is actually for # AskGS."," who will be president of the major central banks in 2014... sorry that question is actually for "
"13164","o you ever look out the window in the late afternoon and just get . . . sad? Like, for no reason? # AskJPM http://www.newyorker.com/humor/2013/11/11/131111sh_shouts_kenney ƒ","o you ever look out the window in the late afternoon and just get . . . sad? Like, for no reason?  ü¾Œ³ ¼"
"13165","Why do u think have bankers learnt NOTHING about ethics & morality since 2008? Why is financial business still based on naked greed? # AskJPM","Why do u think have bankers learnt NOTHING about ethics & morality since 2008? Why is financial business still based on naked greed? "
"13166","# AskJPM @ jpmontoya Would you rank your # NASCAR career as a success? Failure? Something in the middle?","  Would you rank your  career as a success? Failure? Something in the middle?"
"13167","Were you given copies of Yellen's comments early today too? How does one go about getting that? # ASKJPM","Were you given copies of Yellen's comments early today too? How does one go about getting that? "
"13168","How JPMorgan's Latest PR Stunt Blew Up In Its Face, just search # AskJPM ref: http://tinyurl.com/pkldg5x ht @ zerohedge","How JPMorgan's Latest PR Stunt Blew Up In Its Face, just search  ref: ht "
"13169","What's the price of silver on April 5th 2014? # AskJPM","What's the price of silver on April 5th 2014? "
"13170","# AskJPM Why did you sell HQ to the Chinese?"," Why did you sell HQ to the Chinese?"
"13171","What about your gaffes? # AskJPM","What about your gaffes? "
"13172","RT @ Financialtailor Who did you like doing business with more MF Global or Bernie Madoff? # AskJPM","  Who did you like doing business with more MF Global or Bernie Madoff? "
"13173","# AskJPM What are we buying tommorow? Efficient markets FTW!"," What are we buying tommorow? Efficient markets FTW!"
"13174","Does Dimon leave the money on the dresser after he visits Congress? # AskJPM via @ ZaneZodrow @ OccupyWallSt @ YourAnonNews @ alexisgoldstein","Does Dimon leave the money on the dresser after he visits Congress?  via    "
"13175","Cannot wait for Thursday's here The Money Is take on the glorious spectacle that is # AskJPM. cc: @TMFFinancials","Cannot wait for Thursday's here The Money Is take on the glorious spectacle that is  cc: "
"13176","Top10 # Trending Topics op http://twitterstreams.nl/trending : 1: # CookieDance 2: # myweirdrelative 3: # AskJPM Topics off: 2013-11-13 22:08:14 GMT","Top10  Topics op : 1:  2:  3:  Topics off: 2013-11-13 22:08:14 GMT"
"13177","If you need someone to leave you with less egg on your face than # askJPM, I'll advise for $500k a year & work from home.","If you need someone to leave you with less egg on your face than  I'll advise for $500k a year & work from home."
"13178","I only condescend to the use of the universally reviled and abhorrent hashtag under exceptionally amusing conditions. # AskJPM","I only condescend to the use of the universally reviled and abhorrent hashtag under exceptionally amusing conditions. "
"13179","Is over-leveraging really as exciting as skydiving or just kinda, eh # AskJPM","Is over-leveraging really as exciting as skydiving or just kinda, eh "
"13180","# AskJPM WHAT THE FUCK ARE YOU CLOWNS UP TO NOW?! @ maxkeiser"," WHAT THE FUCK ARE YOU CLOWNS UP TO NOW?! "
"13181","Well that didn't go as planned. # AskJPM now trending. # twitter # hashtagfailpic.twitter.com/gEcfN0C8sZ","Well that didn't go as planned.  now trending.  "
"13182","Has # AskJPM gotten too big to fail? If it falters, is it eligible for TARP funding?","Has  gotten too big to fail? If it falters, is it eligible for TARP funding?"
"13183","Whatever happened to the female senatorial staffer who said, blushing, ñThat Jamie Dimon, heÍs wonderful?î http://nymag.com/news/intelligencer/encounter/jamie-dimon-2012-8/index1.html ƒ # ASKJPM","Whatever happened to the female senatorial staffer who said, blushing, ü¾Œ–˜¼That Jamie Dimon, heü¾™†Œ¼s wonderful?ü¾™–”¼ ü¾Œ³ ¼ "
"13184","occupyphoenix: Do you feel like your all encompassing shenanigans are overlooked because Goldman Sachs is more hated? # AskJPM","occupyphoenix: Do you feel like your all encompassing shenanigans are overlooked because Goldman Sachs is more hated? "
"13185","If you're a large, unpopular financial corporation, the tough part about public relations is the public. # AskJPM","If you're a large, unpopular financial corporation, the tough part about public relations is the public. "
"13186","# ASKJPM Is bitcoin giving you chills? What new financial product are you weaving to manipulate it?"," Is bitcoin giving you chills? What new financial product are you weaving to manipulate it?"
"13187","Have you figured out how to appropriately accessorize an orange jumpsuit yet? # AskJPM","Have you figured out how to appropriately accessorize an orange jumpsuit yet? "
"13188","Blowing up right now... Follow # AskJPM to watch. RT @ zerohedge: How JPMorgan's Latest PR Stunt Blew Up In Its Face http://tinyurl.com/pkldg5x","Blowing up right now... Follow  to watch.   How JPMorgan's Latest PR Stunt Blew Up In Its Face "
"13189","Los de JPM no han analizado bien lo que suele pasar cuando se hacen Q&A en twitter # AskJPM ....todo un exito...si....","Los de JPM no han analizado bien lo que suele pasar cuando se hacen Q&A en twitter  ....todo un exito...si...."
"13190","How much does it cost you to leverage the media into covering up your crimes against humanity? # AskJPM","How much does it cost you to leverage the media into covering up your crimes against humanity? "
"13191","# AskJPM would u rather. A) QE tapers in 2015, but u get unlimited bucks now til then, or B) QEinfinity capped at $100B/month? # tcot # tlot"," would u rather. A) QE tapers in 2015, but u get unlimited bucks now til then, or B) QEinfinity capped at $100B/month?  "
"13192",". @ jpmorgan asked for questions and got ones like this: o you not realize the vast majority of Americans know you are criminals? # AskJPM",".  asked for questions and got ones like this: o you not realize the vast majority of Americans know you are criminals? "
"13193","Shouldn't high frequency trading be treated as insider trading since just skims profits at expense of ordinary investors? # AskJPM","Shouldn't high frequency trading be treated as insider trading since just skims profits at expense of ordinary investors? "
"13194","# AskJPM do you report your fines in pre or post manipulated currency amounts under IFRS or US GAAP?"," do you report your fines in pre or post manipulated currency amounts under IFRS or US GAAP?"
"13195","(Ron Burgundy voice) # AskJPM: Well that escalated quickly. http://instagram.com/p/gq9_Pbx1o8/","(Ron Burgundy voice)  Well that escalated quickly. "
"13196","GO=>http://www.linklite.info/followcrazy?IWCbTNUxyP&PHlindinho1 ƒ ?RT?FOLLOWME?IFOLLOWYOU # myweirdrelative, # CookieDance, # AskJPM, # MentionATrueFriend, # UKTVNee https://twitter.com/_TFB_TeamFollow/status/376217886345293824/photo/1pic.twitter.com/Qvy81DKoKM","GO=>ü¾Œ³ ¼ ??FOLLOWME?IFOLLOWYOU      "
"13197","How exactly did you coerce @ Twitter to steal the @ Chase handle from @ ChaseGiunta ? # AskJPM","How exactly did you coerce  to steal the  handle from  ? "
"13198","To float or not to float? # AskJPM","To float or not to float? "
"13199","# AskJPM This is pretty funny."," This is pretty funny."
"13200","@ doeyjavis: Is there a Scrooge McDuck style money pool somewhere in the office? # AskJPM pic.twitter.com/nFLBPwNeo7"," Is there a Scrooge McDuck style money pool somewhere in the office?  pic.twitter.com/nFLBPwNeo7"
"13201","Yes, we know. MT: @ jpmorganTS $ JPM VC Jimmy Lee will host a live Q&A on his career experiences 11/14 at 1pm ET. tweet Qs using # AskJPM","Yes, we know. MT:  $ JPM VC Jimmy Lee will host a live Q&A on his career experiences 11/14 at 1pm ET. tweet Qs using "
"13202","If there was no Federal Reserve, and fractional reserve banking was illegal, what would you be doing for a living? # AskJPM","If there was no Federal Reserve, and fractional reserve banking was illegal, what would you be doing for a living? "
"13203","Are you concerned by Peter Jackson's Hobbit films depicting Smaug and other sufferers of old sickness in a negative light? # AskJPM","Are you concerned by Peter Jackson's Hobbit films depicting Smaug and other sufferers of old sickness in a negative light? "
"13204","Laughing my ass off...stream.. # askjpm","Laughing my ass off...stream.. "
"13205","Hey new prez of @ jpmorgan, what are you doing to stop housing injustice? # AskJPM # jpmorgan # chasebank","Hey new prez of  what are you doing to stop housing injustice?   "
"13206","Rick santelli ordered it @ SconsetCapital: DID YOU ORDER THE CODE RED??? # AskJPM","Rick santelli ordered it  DID YOU ORDER THE CODE RED??? "
"13207","@ EpicureanDeal @ LizziePaton No, because Custer knew right away there was no escape. JPM hasn't shot their limos for shelter # AskJPM","  No, because Custer knew right away there was no escape. JPM hasn't shot their limos for shelter "
"13208","Can you tell us how often you replace @elizabethforma's name with profanity in meetings? # AskJPM","Can you tell us how often you replace  name with profanity in meetings? "
"13209","# AskJPM Explain the zero trading losses. We would all like to manipulate the market the way you do."," Explain the zero trading losses. We would all like to manipulate the market the way you do."
"13210","Remember the days when your biggest PR disaster was getting rid of aquariums? # AskJPM","Remember the days when your biggest PR disaster was getting rid of aquariums? "
"13211","Is Mr. Dimon glad that Spencer Bachus didn't make him testify under oath? http://www.republicreport.org/2012/jp-morgan-spencer-baucus/ ƒ # ASKJPM","Is Mr. Dimon glad that Spencer Bachus didn't make him testify under oath? ü¾Œ³ ¼ "
"13212","So how many tungsten filled gold bars are in those vaults under NYC?? # AskJPM","So how many tungsten filled gold bars are in those vaults under NYC?? "
"13213","Do you think this experiment will be an HBS case study next year? # AskJPM","Do you think this experiment will be an HBS case study next year? "
"13214","# AskJPM, do u laugh @customers who purchase JPM structured products where your beneficial counter-party during the presentation or after?"," do u laugh  who purchase JPM structured products where your beneficial counter-party during the presentation or after?"
"13215","Q: Will JP Morgan sponsor a new building at Harvard Business School in exchange for HBS not writing a social media case about # AskJPM?","Q: Will JP Morgan sponsor a new building at Harvard Business School in exchange for HBS not writing a social media case about "
"13216","RT @ Dooezer: Ladies and Gentlemen, the Snarkpocalypse is upon us. Brought about by this: # AskJPM","  Ladies and Gentlemen, the Snarkpocalypse is upon us. Brought about by this: "
"13217","Do you even lift? # AskJPM","Do you even lift? "
"13218","How much panache does it take to dot an 'i', cross a 't', and say hus I willed it at the world largest banking bureaucracy? # AskJPM","How much panache does it take to dot an 'i', cross a 't', and say hus I willed it at the world largest banking bureaucracy? "
"13219","What else could US do with $13 billion/yr spent on tax loophole for hedge fund managers? # askjpm","What else could US do with $13 billion/yr spent on tax loophole for hedge fund managers? "
"13220","Would you mind using lube next time you fuck us? Or at least tell us we're pretty? # AskJPM","Would you mind using lube next time you fuck us? Or at least tell us we're pretty? "
"13221","I hope they answer this one RT @ kevinroose Would you rather negotiate with 1 horse-sized Eric Holder or 100 duck-sized Eric Holders? # AskJPM","I hope they answer this one   Would you rather negotiate with 1 horse-sized Eric Holder or 100 duck-sized Eric Holders? "
"13222","If Goldman is the vampire squid does that mean you're a shifter squid or a weresquid? Probably not a fairy squid # AskJPM","If Goldman is the vampire squid does that mean you're a shifter squid or a weresquid? Probably not a fairy squid "
"13223","Have any questions for J.P. Morgan? # AskJPM http://feedproxy.google.com/~r/Maxkeisercom/~3/8ipLI8OWXPM/ ƒ","Have any questions for J.P. Morgan?  ü¾Œ³ ¼"
"13224",".@vandermy gave me a heads up about the # AskJPM hashtag. Gold, pure gold.",". gave me a heads up about the  hashtag. Gold, pure gold."
"13225","Mr. Dimon, which of your abject failures are you proudest of? http://www.nakedcapitalism.com/2012/07/michael-crimmins-why-hasnt-jamie-dimon-been-fired-by-his-board-yet.html ƒ # ASKJPM","Mr. Dimon, which of your abject failures are you proudest of? ü¾Œ³ ¼ "
"13226","# AskJPM Could you break out EBT processing income from EPS?"," Could you break out EBT processing income from EPS?"
"13227","Where does # AskJPM fall among your company's smart, sensible business strategies?","Where does  fall among your company's smart, sensible business strategies?"
"13228","Dear # AskJPM: Cubs or Sox? Yanks or Mets?Less filling or astes great? Support your answers with concrete examples.","Dear  Cubs or Sox? Yanks or Mets?Less filling or astes great? Support your answers with concrete examples."
"13229","# AskJPM when will paper silver collapse? Let's get the show on the road."," when will paper silver collapse? Let's get the show on the road."
"13230","Do you sometimes feel like prostitutes? # AskJPM","Do you sometimes feel like prostitutes? "
"13231","# AskJPM Be honest...OFAC aren't rules, they're more guidelines, right?"," Be honest...OFAC aren't rules, they're more guidelines, right?"
"13232","So is @ jpmorgan going to see the funny side of the # AskJPM debacle or quickly fire some ppl? I'm thinking the latter...","So is  going to see the funny side of the  debacle or quickly fire some ppl? I'm thinking the latter..."
"13233","@ EDKrudy I don't know that. (catapulted into space) # AskJPM"," I don't know that. (catapulted into space) "
"13234","Quick! Follow @corpounreal before they finish their # AskJPM","Quick! Follow  before they finish their "
"13235","Q: When did the realization the London Whale trades had escalated beyond your control feel the same as this spiraling PR disaster? # AskJPM","Q: When did the realization the London Whale trades had escalated beyond your control feel the same as this spiraling PR disaster? "
"13236","@ jpmorgan which financial crime are you most proud of? Bribery (Jefferson county), fraud, rigging markets or money laundering # AskJPM"," which financial crime are you most proud of? Bribery (Jefferson county), fraud, rigging markets or money laundering "
"13237","What does it look like when a Twitter experiment goes wrong? # AskJPM","What does it look like when a Twitter experiment goes wrong? "
"13238","Badgerñ @ SconsetCapital: If you could be any kind of animal, what would you be? # AskJPMî","Badgerü¾Œ–˜¼  If you could be any kind of animal, what would you be? "
"13239","Does Hank *really* like Tim? C'mon, I won't tell them what you said. # AskJPM","Does Hank *really* like Tim? C'mon, I won't tell them what you said. "
"13240","# AskJPM as virtual stockade and tomato pelting show. Get your virtual rage on, then continue in real helplessness. Well played, @ jpmorgan."," as virtual stockade and tomato pelting show. Get your virtual rage on, then continue in real helplessness. Well played, "
"13241","was Washington Mutual buried alive? open the coffin so we can look for fingernail scratches... # AskJPM","was Washington Mutual buried alive? open the coffin so we can look for fingernail scratches... "
"13242","Take a little break and check out # AskJPM on Twitter. Hilarious!","Take a little break and check out  on Twitter. Hilarious!"
"13243","Jamie, we know you're richer than that one analyst, but are you richer than ALL of the analysts? # AskJPM","Jamie, we know you're richer than that one analyst, but are you richer than ALL of the analysts? "
"13244","# AskJPM Does the Federal Reserve's reverse-repo facility reduce the expectations that the...uh...oh, whom I kidding: What's wrong with you?"," Does the Federal Reserve's reverse-repo facility reduce the expectations that the...uh...oh, whom I kidding: What's wrong with you?"
"13245","Do you think the guy working on # AskGoldmanSachs just crossed it off his to-do list? # AskJPM","Do you think the guy working on  just crossed it off his to-do list? "
"13246","At what date will you be able to securitize your commit fraud pay the fines business model? # AskJPM","At what date will you be able to securitize your commit fraud pay the fines business model? "
"13247","Can I redeem my reward points in Renminbi? # AskJPM","Can I redeem my reward points in Renminbi? "
"13248","# AskJPM RT @ zerohedge: Wait, shouldn't Tepco's ontainment building NOT be leaking?","   Wait, shouldn't Tepco's ontainment building NOT be leaking?"
"13249","How much are you paying your social media manager? # AskJPM","How much are you paying your social media manager? "
"13250","@ davidgaffen:What does Marcellus Wallace look like? # AskJPM do the american people look like a bitch? Then why would you fuck us like one?"," does Marcellus Wallace look like?  do the american people look like a bitch? Then why would you fuck us like one?"
"13251","From the social media Gods: # AskJPM anything you want, now trending on Twitter.","From the social media Gods:  anything you want, now trending on Twitter."
"13252","ñ @ ExtraDividends: So are you still manipulating the prices of Silver? Did you try to kill Andrew Maguire? # AskJPM","ü¾Œ–˜¼  So are you still manipulating the prices of Silver? Did you try to kill Andrew Maguire? "
"13253","# AskJPM, I have 100 SLV units, where & how can I convert it into real AG (Silver)?"," I have 100 SLV units, where & how can I convert it into real AG (Silver)?"
"13254","# AskJPM why US citz w/ a foreign held account, said account is not FDIC insured."," why US citz w/ a foreign held account, said account is not FDIC insured."
